origin,destination,trip_count,shortest_path,origin_osm_node
5329.03,6578.01,15.0,"[246866828, 607906596, 246879394, 11310311811, 7779310094, 4133206254, 246648219, 42445766, 42449341, 42439286, 42429664, 42454381, 6401966213, 42427390, 42443676, 42434285, 42437914, 42427483, 42453630, 42445310, 42434821, 42438674, 42427821, 42437693, 42451695, 42446668, 42437670, 3270031002, 42430633]",246866828
6912.01,7511.19,15.0,"[42423674, 42430394, 4347534767, 5706568771, 8254176969, 42445950, 42445953, 42436511, 42445961, 42429971, 42431650, 42445972, 42445976, 42437425, 42431674, 42445994, 42429682, 42445227, 42436477, 42438791, 42439556, 42430052, 42446013, 42446016, 42436913, 42446021, 42438487, 42446026, 42439392, 42446031, 42435499, 42446036, 42429324, 42446041, 42445733, 42436539, 6949740442, 6949740430, 42444810, 42446066, 42446070, 42446072, 42444487, 42434166, 42446086, 42446093, 42446099, 42445256, 42438963, 42430474, 42434905, 5481897028, 42434904]",42423674
6140.05,6182.02,15.0,"[42430265, 42439836, 42427374]",42430265
5303.06,5303.06,15.0,"[11038072541, 7595185930]",11038072541
7020.02,6925.09,15.0,"[42446478, 42443024, 42443020, 42430068, 42439563, 42438802, 42436489]",42446478
5414.07,5453.05,14.0,"[486867405, 42429645, 42429756, 486869282, 42429754, 42432085, 42432111]",486867405
5826.02,5826.02,14.0,[42506522],42506522
6148.02,6140.05,14.0,"[42435603, 42429662, 42429661, 42429659, 42430263, 42427371, 42430265]",42435603
5400.05,5470.12,14.0,"[42436330, 42436333, 42436335, 42436336, 42436056]",42436330
6140.05,6140.05,14.0,[42430265],42430265
7079.06,7453.01,14.0,"[7802856349, 7802856372, 7802856356, 42435272, 42435275, 42432556, 42435283, 42435295, 42435301, 42424225, 42427915, 42433564, 42435308, 42421800, 42424851, 7106818626, 7106818623, 7106818627, 42421993, 42431447, 42435316]",7802856349
6157.04,6157.04,14.0,"[42454328, 42429431]",42454328
5989.02,6072.11,14.0,"[42430255, 42439826, 42435598, 42435599]",42430255
5788.15,5788.12,14.0,"[42446528, 42446533]",42446528
7602.05,7617.07,14.0,"[7803266922, 42433161, 2141026500, 42446728, 42433743]",7803266922
5905.12,5755.14,14.0,"[42428493, 42438784, 42436935, 42429373, 42439070, 42449067, 42430857, 42421877, 8475999052, 8475999051, 42437949, 6255601608, 6255601607, 42456303]",42428493
5989.02,6140.05,14.0,"[42430255, 42430257, 42430259, 42429659, 42430263, 42427371, 42430265]",42430255
6822.09,6650.07,14.0,"[42431684, 42455695, 42443000, 42431681, 42437445, 42442983, 5550244687, 42442977, 42431659, 42429981, 42442963, 42436527, 6176483595, 42424089, 42442961, 42432861, 42442960, 42442959]",42431684
7453.01,7079.06,14.0,"[42435316, 42431447, 42421993, 7106818627, 7106818623, 7106818626, 42424851, 42421800, 42435308, 42433564, 42427915, 42424225, 42435301, 42435295, 42435283, 42432556, 42435275, 42435272, 7802856356, 7802856372, 7802856349]",42435316
6765.01,6459.07,14.0,"[247084443, 247085080, 1760566988, 247081706, 247081711, 246650546, 246650510, 9423683546, 42430607, 9423683689, 8585752285]",247084443
6740.01,6779.04,14.0,"[42430363, 42430367, 9696772607, 8939922347, 42440012, 42440009, 42440004, 42428310]",42430363
7123.04,7123.04,14.0,[595245918],595245918
5696.03,5184.08,14.0,"[2562448026, 9609713330, 2562448041, 246879394, 607906596, 246866828, 246866830, 246866810, 246866806, 7334235841, 11374486384]",2562448026
5905.14,5755.14,13.0,"[42436935, 42429373, 42439070, 42449067, 42430857, 42421877, 8475999052, 8475999051, 42437949, 6255601608, 6255601607, 42456303]",42436935
6306.06,6224.03,13.0,"[42434285, 42434279, 42434271]",42434285
5204.05,5204.05,13.0,[42506331],42506331
5303.08,5294.04,13.0,"[42440785, 42433549, 42433550, 42433551, 3234087898, 42433553, 8518556691, 11038072318, 42433554, 11038072316, 5481948052, 4375208206, 42445630, 7499263656, 42427742]",42440785
